source,target,value
Data,Linear,6
Data,Logistic,15
Data,Miscellaneous,2
Data,Poisson,6
Linear,Player | Goals,1
Linear,Draws,1
Linear,Player | Position,5
Linear,Player | Age,4
Linear,Player | Height,4
Linear,Player | Victories,1
Linear,Player | Weight,4
Linear,League | Self,3
Linear,League | Country,2
Linear,Referee | Self,3
Linear,Referee | Country,1
Logistic,Player | Position,10
Logistic,Player | Height,5
Logistic,Player | Weight,5
Logistic,League | Self,1
Logistic,League | Country,4
Logistic,Player | Goals,3
Logistic,Player | Victories,1
Logistic,Player | Cards,2
Logistic,Player | Self,1
Logistic,Referee | Country,3
Logistic,Referee | Cards,1
Poisson,Player | Position,4
Poisson,Player | Height,1
Poisson,Player | Weight,2
Poisson,Player | Age,2
Poisson,League | Country,1
Poisson,Player | Goals,2
Poisson,Player | Victories,1
Miscellaneous,Player | Position,1
Miscellaneous,Player | Height,1
Miscellaneous,Player | Age,1
Player | Goals,2.93,1
Player | Position,2.88,1
Player | Height,2.88,1
Player | Age,2.88,1
None,1.71,1
Player | Position,1.48,1
Referee | Country,1.48,1
Player | Position,1.41,1
Player | Name,1.4,1
None,1.39,1
Player | Position,1.39,1
None,1.38,1
2 covariates,1.38,1
3 covariates,1.38,1
2 covariates,1.32,1
2 covariates,1.31,1
2 covariates,1.31,1
6 covariates,1.3,1
3 covariates,1.28,1
6 covariates,1.28,1
3 covariates,1.21,1
6 covariates,1.21,1
4 covariates,1.19,1
7 covariates,1.18,1
6 covariates,1.12,1
2 covariates,1.1,1
3 covariates,1.03,1
1 covariate,1.02,1
4 covariates,1,1
2 covariates,0.96,1
2 covariates,0.89,1
