source,target,value
Data,Linear,29
Data,Logistic,38
Data,Miscellaneous,4
Data,Poisson,13
Linear,Draws,1
Linear,League | Country,2
Linear,League | Self,3
Linear,Player | Age,4
Linear,Player | Goals,1
Linear,Player | Height,4
Linear,Player | Position,5
Linear,Player | Victories,1
Linear,Player | Weight,4
Linear,Referee | Country,1
Linear,Referee | Self,3
Logistic,League | Country,4
Logistic,League | Self,1
Logistic,None,2
Logistic,Player | Cards,2
Logistic,Player | Goals,3
Logistic,Player | Height,5
Logistic,Player | Position,10
Logistic,Player | Self,1
Logistic,Player | Victories,1
Logistic,Player | Weight,5
Logistic,Referee | Cards,1
Logistic,Referee | Country,3
Miscellaneous,None,1
Miscellaneous,Player | Age,1
Miscellaneous,Player | Height,1
Miscellaneous,Player | Position,1
Poisson,League | Country,1
Poisson,Player | Age,2
Poisson,Player | Goals,2
Poisson,Player | Height,1
Poisson,Player | Position,4
Poisson,Player | Victories,1
Poisson,Player | Weight,2
Player | Goals,2.93,1
Player | Age,2.88,1
Player | Height,2.88,1
Player | Position,2.88,1
None,1.71,1
Player | Position,1.48,1
Referee | Country,1.48,1
Player | Position,1.41,1
Player | Self,1.4,1
None,1.39,1
Player | Position,1.39,1
League | Country,1.38,1
None,1.38,1
Player | Height,1.38,1
Player | Position,1.38,1
Player | Position,1.38,1
Player | Weight,1.38,1
Player | Age,1.32,1
Player | Goals,1.32,1
League | Country,1.31,1
Player | Position,1.31,1
Player | Position,1.31,1
Referee | Country,1.31,1
League | Country,1.3,1
Player | Age,1.3,1
Player | Height,1.3,1
Player | Position,1.3,1
Player | Victories,1.3,1
Player | Weight,1.3,1
League | Self,1.28,1
League | Self,1.28,1
Player | Age,1.28,1
Player | Height,1.28,1
Player | Height,1.28,1
Player | Position,1.28,1
Player | Position,1.28,1
Player | Weight,1.28,1
Player | Weight,1.28,1
League | Country,1.21,1
League | Self,1.21,1
Player | Age,1.21,1
Player | Height,1.21,1
Player | Height,1.21,1
Player | Position,1.21,1
Player | Weight,1.21,1
Player | Weight,1.21,1
Referee | Self,1.21,1
League | Country,1.18,1
League | Self,1.18,1
Player | Age,1.18,1
Player | Height,1.18,1
Player | Position,1.18,1
Player | Weight,1.18,1
Referee | Self,1.18,1
League | Country,1.12,1
League | Self,1.12,1
Player | Goals,1.12,1
Player | Height,1.12,1
Player | Position,1.12,1
Player | Weight,1.12,1
Player | Cards,1.1,1
Player | Self,1.1,1
Draws,1.03,1
Player | Position,1.03,1
Player | Victories,1.03,1
League | Country,1.02,1
Player | Cards,0.96,1
Referee | Cards,0.96,1
Player | Position,0.89,1
Player | Weight,0.89,1
